mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5	0	1/2	3/4	1	1	1/8	1/8	1		5	83	B5	5	0
1	0	1/2	1/2	0.5	1/8	5/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	1
2	1	1	1	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	5
2	1	1	1	1.0	0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	2
2	1	2	2	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	6
2	1	2	2	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	3
2	1	3	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	7
2	1	3	3	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	4
3	2	4	4	1.0	0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	12
3	2	4	4	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	8
3	2	5	5	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	13
3	2	5	5	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	9
3	2	6	6	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		3	81	A5	5	10
3	2	13/2	13/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	11
4	3	7	7	1.0	0	0	3/4	2	1	1/4	1/4	1		6	54	F#3	3	17
4	3	7	7	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	14
4	3	8	8	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	18
4	3	8	8	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	15
4	3	9	9	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	19
4	3	9	9	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		0	72	C5	5	16
5	4	10	10	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	24
5	4	10	10	1.0	0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	20
5	4	11	11	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	25
5	4	11	11	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	21
5	4	12	12	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		5	83	B5	5	22
5	4	25/2	25/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	23
6	5	13	13	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	30
6	5	13	13	1.0	0	0	3/4	1	1	1/4	1/4	1		4	76	E5	5	26
6	5	14	14	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		1	79	G5	5	27
6	5	29/2	29/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	28
