mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	1/2	Tempo	3/4	1	1	0					𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0	
1	1	0	0	0.5	0	1/2	Chord	3/4	1	1	1/8	1/8	1	0							0
1	1	1/2	1/2	0.5	1/8	5/8	Chord	3/4	1	1	1/8	1/8	1	1							0
2	2	1	1	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	2							
2	2	2	2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	3							
2	2	3	3	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	4							
2	2	1	1	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	5							
2	2	2	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	6							
2	2	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	7							
3	3	4	4	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	8							1
3	3	5	5	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	9							
3	3	6	6	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	10							2
3	3	13/2	13/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	11							2
3	3	4	4	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	12							3
3	3	5	5	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	13							
4	4	7	7	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	14							
4	4	8	8	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	15							
4	4	9	9	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	16							
4	4	7	7	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	17							
4	4	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	18							
4	4	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	19							
5	5	10	10	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	20							4
5	5	11	11	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	21							
5	5	12	12	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	22							5
5	5	25/2	25/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	23							5
5	5	10	10	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	24							6
